PK;Tool;Name;Short;Full;Type;Developer;Institute;Location;Earliest Mention;System;Related To;Notes;
38;"T.A.P.; T.A.P (Text Analysis Program); TAP";TAP;TAP;Text Analysis Program;"content analysis; text analysis; concordance; word count";"Esteban Egea; Sam Buss";Emory University;USA;1977;;;Written in Assembly Language for the UNIVAC Spectra 70/17;
39;UNICORN;UNICORN;UNICORN;;concordance;"Michael J. Preston; Samuel S. Coleman";"University of Colorado at Boulder; Lawrence Livermore Laboratory (California)";USA;1978;;9;"An ""operational concording system"" written in CDC FORTRAN IV";
40;"KLIC; KLIC (Key Letter In Context)";KLIC;KLIC;Key Letter In Context;concordance;Grace B. Logan;Waterloo Arts Computing Office, University of Waterloo;Canada;1978;;;"Part of an unnamed ""concordance package designed by Philip H. Smith of Waterloo""";
41;AUTHOR;AUTHOR;AUTHOR;;"authorship; content analysis";R. L. Frautschi;Pennsylvania State University;USA;1978;;"9;5";"Functions as an interface between RATS and statistical program MINITAB II; assumes knowledge of FORTRAN";
42;HAWKEYE;HAWKEYE;HAWKEYE;;"content analysis; frequency; distribution";"Robert Dilligan; Lucy Hawk";University of Southern California;USA;1980;IBM 370;"5;28";"Written for an IBM 370 in PL/I. ""HAWKEYE is an updated and improved version of the computer program EYEBALL""";
43;CLOC;CLOC;CLOC;;"content analysis; concordance";A. Reed;Birmingham University;USA;1980;ICL 1900 mainframes;18;"""a general purpose text analysis package in the tradition of COCOA, JEUDEMO or OCP"" written in ALGOL 68-R";
44;LEMMA;LEMMA;LEMMA;;"lemmatization; morphological analysis";Wolfgang Krause and Gerd Willee;"Institut fur deutsche Sprache, Forschungsstelle Bonn; G. Willfieat tile Institut fur Kommunikationsforschung und Phonetik der Universitat Bonn";Germany;1978;;;An algorithm/package for lemmatization and morphological analysis of German text;
45;UNICON;UNICON;UNICON;unicon;concordance;unkn;unkn;unkn;1964;IBM 790;9;"An early concordance generator with a counterpart, UNICOUNT, for word lists and word counts. Written in FORTRAN IV; original developer not clear from the Burton article, but may be Sydney Lamb and Laura Gould, the original describers.";
46;DISCON;DISCON;DISCON;;concordance;unkn;unkn;unkn;1964;;;"An early concordance program ""created to handle bilingual texts""; original developer not clear from the Burton article, but may be Sydney Lamb and Laura Gould, the original describers.";
47;TRICON;TRICON;TRICON;tricon;concordance;Sydney Lamb?;Berkeley;USA;1964;;9;"An early concordance program for Russian and other non-Roman alphabet texts, and adapted for Judeo-Arabic texts. Rewritten in FORTRAN G for the IBM 360/370 by Sydney Lamb in 1968; original developer not clear from the Burton article, though created for the Berkeley Machine Translation Project. Developers may be Sydney Lamb and Laura Gould, the original describers.";
48;"Scharfenberg-Smith concordance program; ICRH concordance generator; ICRH (Institute for Computer Research in the Humanities) concordance generator";ICRH;ICRH;ICRH concordance generator;concordance;"Kenneth F. Scharfenberg; Philip H. Smith, Jr.";"Thomas J. Watson Research Center; Institute for Computer Research in the Humanities; New York University";USA;1964;IBM 7090;;"Dolores M. Burton describes this program as ""famous"".";
49;WATCON;WATCON;WATCON;;"concordance; text handling";Philip H. Smith, Jr.;University of Waterloo;Canada;1971;;48;"""given Smith's involvement in its creation, can be regarded as a direct descendant of the Scharfenberg-Smith and ICRH concordance generator""";
50;CONCORD;CONCORD;CONCORD;;collocation;Neil Hamilton-Smith;Edingburgh Regional Computing Centre;Scotland;1968;;;An early collocation program that directly influenced COCOA (its features were integrated into later versions of COCOA);
51;FANGORN;FANGORN;FANGORN;;"text analysis; natural language processing";Peter Bøgh Andersen;University of Aarhus;Denmark;1981;;;A programming language for linguistic and literary analysis.;
52;AUTOSTYL;AUTOSTYL;AUTOSTYL;;"text analysis; stylistic analysis";Louis T. Milic;Cleveland State University;USA;1971;;;A package of linked programs for stylistic analysis.;
53;SALEM;SALEM;SALEM;;natural language processing;The members of the Sonderforschungsbereich 100;Tubingen;Germany;1980;;9;A natural language processing system for German text, written in FORTRAN.;
54;BALCON;BALCON;BALCON;;"concordance; text analysis";;;;1975;;;"A tool for creating bilingual concordances. Acronym expands to Bilingual Analytical Literary and Linguistic Concordance. Known from an article by Susan (S.M.) Hockey and V. Shibayev referenced in Dolores Burton's article; authorship unclear.";
55;CRIC-8 CONCORDER;CRIC_8;CRIC-8;CRIC-8 CONCORDER;concordance;;;;1972;;;CRIC expands to 'cross-reference-in-context'. Authorship unclear from the Dolores Burton article where its is mentioned.;
56;TEXTCORD;TEXTCORD;TEXTCORD;textcord;concordance;John Hurd;University of Toronto;Canada;1980;;;A concordance program developed in SPITBOL for working with texts in scripts other than the Latin alphabet. ;
57;"COGS-3; COGS";COGS;COGS;;concordance;John Bradley;University of Toronto;Canada;1985;;;A general-purpose concordance program.;
58;"Oxford Concordance Program; OCP";OCP;OCP;Oxford Concordance Program;concordance;"Ian Mariott; Susan Hockey";Oxford University;UK;1979;;;A well-respected concordance program with functions in common with CLOC and COCOA.;
59;DEREDEC;DEREDEC;DEREDEC;;"syntactic analysis; text parsing";P. Plante;;France;1986;;;A French text analysis program. ;
60;Icon;Icon;Icon;;"programming language; string processing; pattern matching";Ralph Griswold;University of Arizona;USA;1987;;7;A programming language suited to humanistic and linguistic activities developed by a member of the SNOBOL development team. ;
61;Donne Variorum;Donne_Variorum;;Donne Variorum;collation;"Gary A. Stringer; William R. Vilberg";University of Southern Mississippi;USA;1987;;;A collation program developed to assist developing a revised Variorum Edition of the Poetry of John Donne, then released for wider use.;
62;"WordCruncher; Brigham Young University Concordance Program; BYU Concordance";WordCruncher;WordCruncher;Brigham Young University Concordance Program;concordance;Electronic Text Corporation;Brigham Young University;USA;1987;;;Concordance tool first developed as the Brigham Young University Concordance Program, then renamed and slightly revised by the Electronic Text Corporation as WordCruncher.;
